anatomic_site	tissue_or_organ_of_origin	primary_site
abdomen	Abdomen, NOS	Other and ill-defined sites
abdomen connective tissue	Abdomen, NOS	Other and ill-defined sites
abdominal lymph node	Abdomen, NOS	Other and ill-defined sites
abdominal part of esophagus	Abdomen, NOS	Other and ill-defined sites
adnexa of uterus	Uterus, NOS	Uterus, NOS
adrenal cortex	Adrenal gland, NOS	Adrenal gland
adrenal gland	Adrenal gland, NOS	Adrenal gland
adrenal medulla	Adrenal gland, NOS	Adrenal gland
alimentary part of gastrointestinal system	Gastrointestinal tract, NOS	Other and ill-defined digestive organs
anal canal	Anal canal	Anus and anal canal
ankle joint	Lower limb, NOS	Other and ill-defined sites
anterior mediastinum	Mediastinum, NOS	Heart, mediastinum, and pleura
anterior part of tongue	Tongue, NOS	Other and unspecified parts of tongue
anterior surface of kidney	Kidney, NOS	Kidney
anterior wall of urinary bladder	Anterior wall of bladder	Bladder
anus	Anus, NOS	Anus and anal canal
aortic body	Aortic body and other paraganglia	Peripheral nerves and autonomic nervous system
arm	Upper limb, NOS	Other and ill-defined sites
ascending colon	Ascending colon	Colon
autonomic nervous system	Autonomic nervous system, NOS	Peripheral nerves and autonomic nervous system
axilla	Other ill-defined sites	Other and ill-defined sites
axillary lymph node	Lymph nodes of axilla or arm	Lymph nodes
axillary tail of breast	Axillary tail of breast	Breast
bile duct	Biliary tract, NOS	Liver and intrahepatic bile ducts
biliary tree	Biliary tract, NOS	Liver and intrahepatic bile ducts
bladder organ	Bladder, NOS	Bladder
blood	Blood	Hematopoietic and reticuloendothelial systems
blood plasma	Blood	Hematopoietic and reticuloendothelial systems
blood serum	Blood	Hematopoietic and reticuloendothelial systems
body of pancreas	Pancreas, NOS	Pancreas
body of stomach	Stomach, NOS	Stomach
body of uterus	Uterus, NOS	Uterus, NOS
bone element	Bone, NOS	Bones, joints and articular cartilage of limbs
bone marrow	Bone marrow	Hematopoietic and reticuloendothelial systems
brain	Brain, NOS	Brain
brainstem	Brain stem	Brain
brain ventricle	Brain, NOS	Brain
brainstem nucleus	Brain, NOS	Brain
breast	Breast, NOS	Breast
broad ligament of uterus	Uterus, NOS	Uterus, NOS
buccal mucosa	Mouth, NOS	Other and ill-defined sites in lip, oral cavity and pharynx
bulb of penis	Penis, NOS	Penis
buttock	Lower limb, NOS	Other and ill-defined sites
calf	Lower limb, NOS	Other and ill-defined sites
cardia of stomach	Cardia, NOS	Stomach
carotid body	Carotid body	Peripheral nerves and autonomic nervous system
cauda equina	Cauda equina	Spinal cord, cranial nerves, and other parts of central nervous system
central nervous system	Nervous system, NOS	Spinal cord, cranial nerves, and other parts of central nervous system
cerebellum	cerebellum	Brain
cerebral hemisphere	Cerebrum	Brain
cerebrospinal fluid	Other ill-defined sites	Other and ill-defined sites
cervical part of esophagus	Esophagus, NOS	Esophagus
chest	Thorax, NOS	Other and ill-defined sites
chest connective tissue	Connective, subcutaneous and other soft tissues of trunk, NOS	Connective, subcutaneous and other soft tissues
chest wall	Thorax, NOS	Other and ill-defined sites
ciliary body	Ciliary body	Eye and adnexa
clitoris	Clitoris	Other and unspecified female genital organs
cochlear nerve	Acoustic nerve	Spinal cord, cranial nerves, and other parts of central nervous system
colon	Colon, NOS	Colon
conjunctiva	Conjunctiva	Eye and adnexa
connective tissue	Connective, subcutaneous and other soft tissues, NOS	Connective, subcutaneous and other soft tissues
cornea	Cornea, NOS	Eye and adnexa
cranial fossa	Bones of skull and face and associated joints	Bones, joints and articular cartilage of other and unspecified sites
cranial nerve	Nervous system, NOS	Spinal cord, cranial nerves, and other parts of central nervous system
