Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 47 liftover	"Brain lesion, CNS neoplasm"	"Neoplasm, NOS"	
Release 47 liftover	Brain mass	Unknown	
Release 47 liftover	"Brain mass, ventricular tumor"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain Neoplasm, favor ependymoma"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain parenchyma with mild hypercellularity, gliosis and possible cortical dysplasia"	Unknown	
Release 47 liftover	Brain stem tumor. high grade glioma	"High-grade glioma, NOS or NEC"	
Release 47 liftover	Brain tumor	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor - cellular neoplasm, possibly glioneuronal"	"Brain Tumor, NOS"	
Release 47 liftover	Brain tumor consistent with ependymoma	"Brain Tumor, NOS"	
Release 47 liftover	Brain Tumor neoplastic tissue	"Brain Tumor, NOS"	
Release 47 liftover	Brain tumor with features most suggestive of ependymoma	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, cellular neoplasm"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, Chronic-reactive gliosis"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, favor Ependymoma"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, favor glioma low grade"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, favor pilocytic astrocytoma"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, ganglioneuronal lesion"	"Neoplasm, NOS"	
Release 47 liftover	"Brain tumor, Hypercellular glial tissue"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, Lesional tissue with epithelioid morphology"	"Neoplasm, NOS"	
Release 47 liftover	"Brain tumor, low grade glial neoplasm"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, low grade neuroepithelial lesion"	"Neoplasm, NOS"	
Release 47 liftover	"Brain tumor, Medulloblastoma"	Medulloblastoma	
Release 47 liftover	"Brain tumor, parietal region"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain tumor, pilocytic astrocytoma"	Pilocytic astrocytoma	
Release 47 liftover	Brain tumor. Small round blue cell tumor	"Brain Tumor, NOS"	
Release 47 liftover	Brain tumor: Myxoid round blue cell tumor	"Brain Tumor, NOS"	
Release 47 liftover	Brain Tumor: Neoplastic tissue present	"Brain Tumor, NOS"	
Release 47 liftover	"Brain, cerebellum, excision: diagnostic tissue present, likely tumor"	Unknown	
Release 47 liftover	"Brain, High grade lesion"	Unknown	
Release 47 liftover	"Brain, intraventricular tumor"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain, Midline supracellar"	Unknown	
Release 47 liftover	"Brain, Midline supracellar; Diffuse leptomeningeal glioneuronal tumor"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Brain, posterior fossa tumor"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain, right cerebellar tumor"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain, right frontal lobe cellular tumor"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain, right temporal tumor"	"Brain Tumor, NOS"	
Release 47 liftover	"Brain, temporal lobe brain tumor - Lesional tissue present"	"Neoplasm, NOS"	
Release 47 liftover	"Brain, thalamus, diffuse midline glioma"	"Diffuse midline glioma, NOS"	
Release 47 liftover	Calcifying nested stromal-epithelial tumor with central interface-type necrosis	Calcifying nested stromal-epithelial tumor	
Release 47 liftover	Carcinoid tumor	"Neuroendocrine tumor, NOS"	
Release 47 liftover	"Carcinoma of thyroid, papillary carcinoma"	Papillary Thyroid Carcinoma	
Release 47 liftover	Carcinoma with signet ring features	Signet ring cell carcinoma	
Release 47 liftover	Cellular astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	Cellular astrocytoma with high grade features	"Astrocytoma, NOS"	
Release 47 liftover	"Cellular brain lesion, favor pilocytic astrocytoma"	Unknown	
Release 47 liftover	Cellular ependymoma	"Ependymoma, NOS"	
Release 47 liftover	Cellular glial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Cellular glial neoplasm with necrosis	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Cellular kidney tumor, most consistent with mesoblastic nephroma, mixed variant"	"Kidney Tumor, NOS"	
Release 47 liftover	"Cellular lesion, favor embryonal tumor"	Unknown	
Release 47 liftover	"Cellular lesion, favor embryonal tumor; possible ependymoma"	Unknown	
Release 47 liftover	Cellular mesenchymal neoplasm	"Mesenchymal Tumor, NOS"	
Release 47 liftover	Cellular myofibroblastic tumor with infiltrative/plexiform growth pattern	"Myofibroblastic tumor, NOS"	
Release 47 liftover	Cellular neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Cellular neoplasm with melanocytic differentiation and angiomatous changes.	"Neoplasm, NOS"	
Release 47 liftover	"Cellular neoplasm with patchy ependymal-type differentiation, favor posterior fossa ependymoma"	"Neoplasm, NOS"	
Release 47 liftover	Cellular neoplasm with pseudorosettes	"Neoplasm, NOS"	
Release 47 liftover	"Cellular neoplasm, favor meningioma"	"Neoplasm, NOS"	
Release 47 liftover	"Cellular neoplasm, favor sarcoma"	"Neoplasm, NOS"	
Release 47 liftover	"Cellular neoplasm, favor supratentorial ependymoma"	"Neoplasm, NOS"	
Release 47 liftover	Cellular neoplasm; favor high grade	"Neoplasm, NOS"	
Release 47 liftover	Cellular schwannoma	Schwannoma	
Release 47 liftover	Cellular spindle cell neoplasm	"Neoplasm, NOS"	
Release 47 liftover	"Cellular tumor with vascular structures, favors ependymoma"	"Neoplasm, NOS"	
Release 47 liftover	"Cellular tumor, favor ependymoma"	"Neoplasm, NOS"	
Release 47 liftover	Cellular well-differentiated liposarcoma	"Liposarcoma, NOS"	
Release 47 liftover	"Cellular, pleomorphic neoplasm, favor glial"	"Neoplasm, NOS"	
Release 47 liftover	Central nervous system tumor with high grade histological features	"Neoplasm, NOS"	
Release 47 liftover	"Central Neurocytoma, CNS WHO Grade 2"	Central neurocytoma	
Release 47 liftover	"Central neurocytoma, WHO Grade 2"	Central neurocytoma	
Release 47 liftover	Cerebellar mass	"Neoplasm, NOS"	
Release 47 liftover	Cerebellar tumor	"Brain Tumor, NOS"	
Release 47 liftover	Cerebellar tumor. Small blue cell tumor	"Brain Tumor, NOS"	
Release 47 liftover	"Cerebellar tumor: High-grade, small blue round cell tumor"	"Brain Tumor, NOS"	
Release 47 liftover	Cerebellopontine angle tumor	"Brain Tumor, NOS"	
Release 47 liftover	cervical	Unknown	
Release 47 liftover	Cervical embryonal rhabdomyosarcoma	Embryonal Rhabdomyosarcoma	
Release 47 liftover	"Cervical spine tumor, Meningioma"	Meningioma	
Release 47 liftover	Cervical thoracic Spinal cord tumor.Ependymoma with High-grade features	"Ependymoma, NOS"	
Release 47 liftover	cervical; INI1-Deficient hematological malignancy	"Neoplasm, NOS"	
Release 47 liftover	Childhood / pre-pubertal immature teratoma	"Teratoma, NOS"	
Release 47 liftover	Chordoma (including poorly differentiated chordoma)	Chordoma	
Release 47 liftover	Choroid plexus carcinoma (WHO Grade 3)	Choroid plexus carcinoma	
Release 47 liftover	Choroid plexus carcinoma CNS WHO grade 3	Choroid plexus carcinoma	
Release 47 liftover	Choroid plexus carcinoma TP53 altered CNS WHO grade 3	Choroid plexus carcinoma	
Release 47 liftover	Choroid plexus carcinoma WHO grade 3	Choroid plexus carcinoma	
Release 47 liftover	"Choroid plexus carcinoma, CNS Who grade 3"	Choroid plexus carcinoma	
Release 47 liftover	"Choroid plexus carcinoma, TP53 mutant"	Choroid plexus carcinoma	
Release 47 liftover	"Choroid plexus carcinoma, TP53-altered, CNS WHO grade 3"	Choroid plexus carcinoma	
Release 47 liftover	"Choroid plexus carcinoma, WHO CNS grade 3"	Choroid plexus carcinoma	
Release 47 liftover	"Choroid plexus carcinoma, WHO grade 3"	Choroid plexus carcinoma	
Release 47 liftover	Choroid plexus neoplasm	Choroid plexus tumor	
Release 47 liftover	"Choroid plexus neoplasm, consistent with choroid plexus carcinoma CNS WHO grade 3"	Choroid plexus tumor	
Release 47 liftover	"Choroid plexus neoplasm, favor atypia choroid plexus papilloma"	Choroid plexus tumor	
Release 47 liftover	"Choroid plexus neoplasm, favor choroid plexus papilloma"	Choroid plexus tumor	
Release 47 liftover	Choroid plexus papillary tumor	Choroid plexus papilloma	
Release 47 liftover	Choroid plexus papilloma (WHO grade 1)	Choroid plexus papilloma	
Release 47 liftover	Choroid plexus papilloma versus atypical choroid plexus papilloma pending neuro pathology review	Choroid plexus papilloma	
Release 47 liftover	Choroid plexus papilloma WHO grade 1	Choroid plexus papilloma	
Release 47 liftover	Choroid plexus papilloma with focal atypia	Choroid plexus papilloma	
Release 47 liftover	"Choroid plexus papilloma, CNS WHO Grade 1"	Choroid plexus papilloma	
Release 47 liftover	"Choroid plexus papilloma, negative for atypia and malignancy"	Choroid plexus papilloma	
Release 47 liftover	"Choroid plexus papilloma, WHO Grade 1"	Choroid plexus papilloma	
Release 47 liftover	"Choroid Plexus Papilloma, Who grade 2"	Choroid plexus papilloma	
Release 47 liftover	Choroidal tissue consistent with choroid plexus papilloma	Unknown	
Release 47 liftover	CIC-DUX4 fusion positive round cell sarcoma	"Sarcoma, NOS"	
Release 47 liftover	CIC-DUX4 Sarcoma	"Sarcoma, NOS"	
Release 47 liftover	CIC-rearranged round cell sarcoma	CNS CIC-rearranged Sarcoma	
Release 47 liftover	Circumscribed astrocytic neoplasm with piloid features	"Neoplasm, NOS"	
Release 47 liftover	Circumscribed astrocytic tumor	"Neoplasm, NOS"	
Release 47 liftover	Circumscribed glioneuronal neoplasm with high grade features	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Circumscribed melanocytic neoplasm, intermediate grade"	"Neoplasm, NOS"	
Release 47 liftover	"Classic Ependymoma, Posterior fossa group A by Immunohistochemistry"	Posterior Fossa Group A (PFA) Ependymoma	
Release 47 liftover	Classic medulloblastoma	Medulloblastoma	
Release 47 liftover	"Classic medulloblastoma, CNS WHO Grade 4"	Medulloblastoma	
Release 47 liftover	"Classic medulloblastoma, histologically WHO grade 4"	Medulloblastoma	
Release 47 liftover	"Classic medulloblastoma, WHO Grade 4"	Medulloblastoma	
Release 47 liftover	Classical papillary thyroid carcinoma	Papillary Thyroid Carcinoma	
Release 47 liftover	"Clear cell meningioma, CNS WHO grade 2"	Clear cell meningioma	
Release 47 liftover	"Clear cell meningioma, WHO grade 2"	Clear cell meningioma	
Release 47 liftover	Clear cell sarcoma of soft tissue	Clear Cell Sarcoma	
Release 47 liftover	Clear cell sarcoma of soft tissue with EWSR1:CREB1 fusion	Clear Cell Sarcoma	
Release 47 liftover	"Clear-cell meningioma, WHO grade 2"	Clear cell meningioma	
Release 47 liftover	Clear-cell sarcoma	Clear Cell Sarcoma	
Release 47 liftover	CNS embryonal neoplasm looks like ependymoma	"CNS embryonal tumor, NOS"	
Release 47 liftover	"CNS embryonal neoplasm, favor embryonal tumor with multilayered rosettes (ETMR)"	"CNS embryonal tumor, NOS"	
Release 47 liftover	CNS embryonal tumor	"CNS embryonal tumor, NOS"	
Release 47 liftover	CNS Embryonal tumor - small round blue cell tumor	"CNS embryonal tumor, NOS"	
Release 47 liftover	"CNS Embryonal tumor (primitive neuroectodermal tumor), CNS WHO grade 4"	"CNS embryonal tumor, NOS"	
Release 47 liftover	CNS Embryonal tumor NOS	"CNS embryonal tumor, NOS"	
Release 47 liftover	"CNS embryonal tumor NOS, CNS WHO grade IV"	"CNS embryonal tumor, NOS"	
Release 47 liftover	"CNS embryonal tumor, morphologically aligning best with pineoblastoma, CNS WHO Grade 4"	"CNS embryonal tumor, NOS"	
