Release_liftover_manifest	submitted_diagnosis	diagnosis	comments
Release 47 liftover	Acinic cell carcinoma	Acinar cell carcinoma	
Release 47 liftover	Adamantinomatous craniopharyngioma (CNS WHO grade 1)	Adamantinomatous craniopharyngioma	
Release 47 liftover	Adamantinomatous craniopharyngioma (WHO grade 1)	Adamantinomatous craniopharyngioma	
Release 47 liftover	Adamantinomatous craniopharyngioma CNS WHO Grade 1	Adamantinomatous craniopharyngioma	
Release 47 liftover	Adamantinomatous craniopharyngioma with evidence of prior rupture	Adamantinomatous craniopharyngioma	
Release 47 liftover	"Adamantinomatous craniopharyngioma, CNS WHO Grade 1"	Adamantinomatous craniopharyngioma	
Release 47 liftover	"Adamantinomatous craniopharyngioma, WHO CNS grade 1"	Adamantinomatous craniopharyngioma	
Release 47 liftover	"Adamantinomatous craniopharyngioma, WHO Grade 1"	Adamantinomatous craniopharyngioma	
Release 47 liftover	adamantinomatous cranipharyngioma WHO grade 1	Adamantinomatous craniopharyngioma	
Release 47 liftover	"Adamantomatous craniopharyngioma, WHO grade 1"	Adamantinomatous craniopharyngioma	
Release 47 liftover	Adenocarcinoma with clear cell features	Clear Cell Adenocarcinoma	
Release 47 liftover	"Adenocarcinoma with clear cell features, not otherwise specified, likely of salivary gland type"	Clear Cell Adenocarcinoma	
Release 47 liftover	"Adenocarcinoma, moderately differentiated, with extension to serosa"	Adenocarcinoma	
Release 47 liftover	"Adenocarcinoma, poorly differentiated, with enteroblastic differentiation"	Adenocarcinoma	
Release 47 liftover	"Adenoid cystic carcinoma, high grade"	Adenoid cystic carcinoma	
Release 47 liftover	"Adrenal cortical carcinoma, conventional, high-grade carcinoma involves the renal vein edge (not true margin)"	Adrenal cortical carcinoma	
Release 47 liftover	Adrenal cortical neoplasm	"Adrenal Cortical Tumors, NOS"	
Release 47 liftover	Adrenal cortical neoplasm of uncertain malignant potential	"Adrenal Cortical Tumor, Uncertain Malignant Potential"	
Release 47 liftover	"Adrenal cortical neoplasm, low risk"	"Adrenal Cortical Tumors, NOS"	
Release 47 liftover	Adrenal cortical tumor	"Adrenal Cortical Tumors, NOS"	
Release 47 liftover	Adrenal lesion with high grade features	Unknown	
Release 47 liftover	Adrenal neuroblastoma	Neuroblastoma	
Release 47 liftover	Adrenal paraganglioma (Pheochromocytoma)	Pheochromocytoma	
Release 47 liftover	Adrenalcortical carcinoma	Adrenal cortical carcinoma	
Release 47 liftover	Adrenocortical neoplasm of uncertain malignant potential	"Adrenal Cortical Tumor, Uncertain Malignant Potential"	
Release 47 liftover	Adrenocortical tumor	"Adrenal Cortical Tumors, NOS"	
Release 47 liftover	Aggressive spindle cell neoplasm with myoepithelial features	"Neoplasm, NOS"	
Release 47 liftover	ALK rearranged fibrohistiocytic neoplasm	"Mesenchymal Tumor, NOS"	
Release 47 liftover	"Alveolar rhabdomyosarcoma, FOXO1-rearranged"	Alveolar rhabdomyosarcoma	
Release 47 liftover	"Alveolar rhabdomyosarcoma, fusion positive"	Alveolar rhabdomyosarcoma	
Release 47 liftover	"Alveolar rhabdomyosarcoma, metastatic"	Alveolar rhabdomyosarcoma	
Release 47 liftover	"Alveolar rhabdomyosarcoma, metastatic;"	Alveolar rhabdomyosarcoma	
Release 47 liftover	"Alveolar rhabdomyosarcoma, solid type, involving sinonasal mucosa"	Alveolar rhabdomyosarcoma	
Release 47 liftover	"Alveolar rhabdomyosarcoma, with FOXO-1 rearrangement by FISH"	Alveolar rhabdomyosarcoma	
Release 47 liftover	Alveolar soft part sarcoma metastasis	Alveolar soft part sarcoma	
Release 47 liftover	Alveolar soft part sarcoma with tumor thrombus	Alveolar soft part sarcoma	
Release 47 liftover	"Alveolar soft part sarcoma, 1.0 cm fragment"	Alveolar soft part sarcoma	
Release 47 liftover	"Alveolar soft part sarcoma, 2.3cm in greatest dimension, focally abutting surgical resection margin. Lymphovascular invasion is present."	Alveolar soft part sarcoma	
Release 47 liftover	Ameloblastic carcinosarcoma	Odontogenic Carcinosarcoma	
Release 47 liftover	Anaplastic embryonal neoplasm	"Embryonal Tumors, NOS"	
Release 47 liftover	Anaplastic ependymoma	"Ependymoma, anaplastic"	
Release 47 liftover	"Anaplastic ependymoma, WHO grade 3"	"Ependymoma, anaplastic"	
Release 47 liftover	Anaplastic medulloblastoma	Medulloblastoma	
Release 47 liftover	Anaplastic medulloblastoma WHO grade 4	Medulloblastoma	
Release 47 liftover	"Anaplastic medulloblastoma, CNS WHO grade 4"	Medulloblastoma	
Release 47 liftover	"Anaplastic medulloblastoma, WHO grade IV"	Medulloblastoma	
Release 47 liftover	"Anaplastic pleomorphic xanthoastrocytoma, CNS WHO grade 3"	Pleomorphic Xanthoastrocytoma	
Release 47 liftover	Anaplastic posterior fossa group A (PFA) ependymoma	Posterior Fossa Group A (PFA) Ependymoma	
Release 47 liftover	"Anaplastic posterior fossa group A ependymoma, CNS WHO grade 3"	Posterior Fossa Group A (PFA) Ependymoma	
Release 47 liftover	Anaplastic rhabdomyosarcoma	Rhabdomyosarcoma	
Release 47 liftover	"Anaplastic supratentorial ependymoma, CNS WHO grade 3, favor ZFTA fusion-positive type (based on L1CAM immunoreactivity)"	"Ependymoma, anaplastic"	
Release 47 liftover	Anaplastic/ large cell medulloblastoma	Large cell medulloblastoma	
Release 47 liftover	"Angiocentric glioma, CNS WHO grade 1"	Angiocentric glioma	
Release 47 liftover	"Angiocentric glioma, WHO grade 1"	Angiocentric glioma	
Release 47 liftover	Angiolipoma	Lipoma	
Release 47 liftover	Angiomatoid fibrous histiocytoma EWSR1-rearranged	Angiomatoid fibrous histiocytoma	
Release 47 liftover	Appearances consistent with alveolar soft part sarcoma	Unknown	
Release 47 liftover	"Astroblastoma, MN1 -altered"	Astroblastoma	
Release 47 liftover	"Astroblastoma, MN1-altered. Histologically high-grade"	"Astroblastoma, MN1-altered"	
Release 47 liftover	Astrocytic glioma	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Astrocytic glioma with histologic features of anaplasia	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Astrocytic glioma, histologically low-grade, most compatible with pilocytic astrocytoma"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Astrocytic glioma. Positive for fusion of the KIAA1549 (7q34) and BRAF (7q34) loci.	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	Astrocytic neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Astrocytic neoplasm with pilocytic/pilomyxoid features	"Neoplasm, NOS"	
Release 47 liftover	Astrocytic neoplasm with piloid features	"Neoplasm, NOS"	
Release 47 liftover	Astrocytoma	"Astrocytoma, NOS"	
Release 47 liftover	Astrocytoma IDH-mutant	"Astrocytoma, IDH-mutant"	
Release 47 liftover	Astrocytoma with piloid features	"Astrocytoma, NOS"	
Release 47 liftover	Astrocytoma with pilomyxoid features	"Astrocytoma, NOS"	
Release 47 liftover	"Astrocytoma, IDH mutant, WHO grade 3"	"Astrocytoma, IDH-mutant"	
Release 47 liftover	"Astrocytoma, IDH-mutant, CNS WHO grade 3"	"Astrocytoma, IDH-mutant"	
Release 47 liftover	"Astrocytoma, IDH-mutant, CNS WHO grade 4"	"Astrocytoma, IDH-mutant"	
Release 47 liftover	"Astrocytoma, IDH-mutant, CNS WHO grade 4 (CDKN2A loss by FISH)"	"Astrocytoma, IDH-mutant"	
Release 47 liftover	"Astrocytoma, IDH-Mutant, WHO Grade 2"	"Astrocytoma, IDH-mutant"	
Release 47 liftover	Astroglial neoplasm	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	"Astroyctoma, IDH1 Arg132Ser, CNS WHO grade 4"	"Astrocytoma, NOS"	
Release 47 liftover	At least low-grade spindle cell neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Atypical astrocytoma with pleomorphism and scattered mitotic activity	"Astrocytoma, NOS"	
Release 47 liftover	Atypical cellular proliferation with clear features	Unknown	
Release 47 liftover	Atypical central neurocytoma	Central neurocytoma	
Release 47 liftover	Atypical choroid plexus papilloma (CNS WHO grade 2)	Atypical choroid plexus papilloma	
Release 47 liftover	Atypical Choroid Plexus Papilloma (WHO Grade 2)	Atypical choroid plexus papilloma	
Release 47 liftover	Atypical choroid plexus papilloma CNS WHO grade 2	Atypical choroid plexus papilloma	
Release 47 liftover	Atypical choroid plexus papilloma vs carcinoma	Atypical choroid plexus papilloma	
Release 47 liftover	"Atypical choroid plexus papilloma, CNS WHO grade 2"	Atypical choroid plexus papilloma	
Release 47 liftover	"Atypical choroid plexus papilloma, WHO grade 2"	Atypical choroid plexus papilloma	
Release 47 liftover	Atypical chroroid plexus papilloma	Atypical choroid plexus papilloma	
Release 47 liftover	"Atypical compound melanocytic neoplasm, excised"	"Neoplasm, NOS"	
Release 47 liftover	Atypical epithelial neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Atypical glial proliferation and dysmorphic neurons	Unknown	
Release 47 liftover	"Atypical gliosis, favor glial neoplasm with low grade morphologic features"	Unknown	
Release 47 liftover	Atypical lymphoid hyperplasia with a clonal B-cell population identified	Unknown	
Release 47 liftover	Atypical melanocytic tumor consistent with Melanoma	"Neoplasm, NOS"	
Release 47 liftover	"Atypical meningioma, CNS WHO Grade 2"	Atypical meningioma	
Release 47 liftover	"Atypical meningioma, WHO Grade 2"	Atypical meningioma	
Release 47 liftover	"Atypical meningioma,WHO grade 2"	Atypical meningioma	
Release 47 liftover	"Atypical mixed glioneuronal lesion, favor ganglioglioma"	Unknown	
Release 47 liftover	Atypical neurofibromatous neoplasm of uncertain biological potential	"Neoplasm, NOS"	
Release 47 liftover	Atypical papillary neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Atypical rhabdoid teratoid tumor (ATRT)	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical rhabdoid/teratoid tumor, WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical smooth muscle neoplasm	"Neoplasm, NOS"	
Release 47 liftover	Atypical spindle cell proliferation	Unknown	
Release 47 liftover	Atypical spindled and epithelioid neoplasm	"Epithelioid Neoplasm, NOS"	
Release 47 liftover	Atypical spitz tumor	"Neoplasm, NOS"	
Release 47 liftover	Atypical spitz tumor with NTRK1 fusion	"Neoplasm, NOS"	
Release 47 liftover	Atypical spitz tumor/spitz melanocytoma	Spitz Melanocytoma	
Release 47 liftover	Atypical teratoid rhabdoid tumor	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid rhabdoid tumor (AT/RT)	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid rhabdoid tumor CNS WHO GRADE 4	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid rhabdoid tumor WHO grade 4	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid rhabdoid tumor, CNS WHO Grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid rhabdoid tumor, WHO Grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid rhaboid tumor	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/ rhabdoid tumor	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/ rhabdoid tumor (WHO grade 4)	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/ rhabdoid tumor with INI1 loss by immunohistochemistry, WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/ rhabdoid tumor, CNS WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/ rhabdoid tumor, CNS WHO grade IV"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/ rhabdoid tumor, WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/rhabdoid	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/rhabdoid tumor	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical Teratoid/Rhabdoid Tumor (AT/RT)	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumor (AT/RT), CNS WHO Grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumor (AT/RT), WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/Rhabdoid tumor (AT/RT), WHO Grade IV"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/rhabdoid tumor CNS WHO grade 4	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/rhabdoid tumor involving posterior fossa	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/rhabdoid tumor WHO grade 4	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumor, CNS WHO 2021 grade: 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumor, CNS WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumor, INI1/SMARCB1-altered, WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumor, WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumor, WHO Grade IV"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/rhabdoid tumor; CNS WHO grade 4	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid/rhabdoid tumour, CNS WHO Grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid/Rhaboid tumor	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid-rhabdoid tumor	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical teratoid-rhabdoid tumor (WHO grade 4)	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid-rhabdoid tumor, cerebellopontine angle tumor"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid-rhabdoid tumor, CNS WHO 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid-rhabdoid tumor, CNS WHO Grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Atypical teratoid-rhabdoid tumor, WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	Atypical Tetroid/Rhabdoid Tumor WHO grade 4	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	"Aytpical teratoid/rhabdoid tumor (AT/RT), WHO grade 4"	Atypical teratoid/rhabdoid tumor	
Release 47 liftover	BCOR-rearranged sarcoma	Sarcoma with BCOR genetic alterations	
Release 47 liftover	Benign solitary fibrous tumor	Solitary fibrous tumor	
Release 47 liftover	bilateral bone marrow involvement by metastatic tumor	"Metastatic Tumor, NOS"	
Release 47 liftover	Biphasic high-grade sarcoma	High Grade Sarcoma	
Release 47 liftover	Biphasic synovial sarcoma	"Synovial sarcoma, biphasic"	
Release 47 liftover	Biphasic synovial sarcoma with poorly differentiated foci	"Synovial sarcoma, biphasic"	
Release 47 liftover	Bland myofibroblastic proliferation with associated florid lymphoplasmacytic inflammation	Unknown	
Release 47 liftover	"Blue cell tumor, favor medulloblastoma"	"Neoplasm, NOS"	
Release 47 liftover	"Blue round cell tumor, favor medulloblastoma"	"Neoplasm, NOS"	
Release 47 liftover	BRAF altered mesenchymal neoplasm	"Mesenchymal Tumor, NOS"	
Release 47 liftover	"BRAF V600E Mutant low grade glial or glioneuronal tumor, Ganglioglioma favored"	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
Release 47 liftover	BRAF V600E mutated glioneuronal tumor	"Gliomas, Glioneuronal Tumors, and Neuronal Tumors, NOS"	
